"Est Name","Address","City","State","Zip","Phone","License Number","Issued","Expires","AZ","Reg","FL","Total","Alzheimer","Adult Day","County"
"Adams Pointe Assisted Living","213 North 48th Street","Quincy",,"62305","2172286484","5104747","2018 Dec 20 12:00:00 AM","2019 Dec 20 12:00:00 AM",,"28",,"28","false","true","Adams"
"Addolorata Villa","553 McHenry Rd","Wheeling","IL","60090","8472155854","5100562","2019 Jan 29 12:00:00 AM","2020 Jan 29 12:00:00 AM","22","39",,"61","true","false","Cook"
"Admiral at the Lake","933 W. Foster Ave","Chicago",,"60640","7734331800","5104192","2018 May 08 12:00:00 AM","2019 May 08 12:00:00 AM","17","39",,"56","true","false","Cook"
"Amber Glen Alzheimer's SCC","1704 East Amber Lane","Urbana","IL","61802","2173840100","5104101","2018 Aug 31 12:00:00 AM","2020 Aug 31 12:00:00 AM","38",,,"38","true","false","Champaign"
"Amber Ridge Assisted Living","900 43rd Avenue","Moline",,"61265","3097978181","5105066","2019 May 01 12:00:00 AM","2020 May 01 12:00:00 AM",,"46",,"46","false","false","Rock Island"
"Amber Ridge Memory Care","221 11th Avenue","Moline","IL","61265","3097577744","5105090","2019 May 01 12:00:00 AM","2020 May 01 12:00:00 AM","41",,,"41","true","false","Rock Island"
"American House Cedarlake","14800 South Van Dyke Road","Plainfield",,"60544","8152543564","5105041","2018 Dec 05 12:00:00 AM","2019 Dec 05 12:00:00 AM",,"41",,"41","false","false","Will"
"American House Orland Park","8021 151st Street","Orland Park","IL","60462","7084032400","5103293","2018 Oct 24 12:00:00 AM","2019 Oct 24 12:00:00 AM","36",,,"36","true","false","Cook"
"Anam Care Inc.","8104 Sayer Rd","Rockford","IL","61108","8153325566","5103590","2018 Oct 20 12:00:00 AM","2019 Oct 20 12:00:00 AM","20",,,"20","true","true","Winnebago"
"Anam Glen","7978 Newburg Road","Rockford","IL","61108","8153321919","5106965","2019 Mar 08 12:00:00 AM","2019 Aug 07 12:00:00 AM","13",,,"13","true","true","Winnebago"
"Anchor of Marion (The)","1501 Sandbar Drive","Marion",,"62959","6189641205","5105181","2019 Jan 04 12:00:00 AM","2019 Dec 28 12:00:00 AM","26","13",,"39","true","false","Williamson"
"Angel Acres, Inc.","8380 Worleys Mill Rd","Marion","IL","62959","6189988570","5200453","2019 Feb 16 12:00:00 AM","2020 Feb 16 12:00:00 AM",,"14",,"14","false","false","Williamson"
"Apostolic Christian Skylines","7023 N. E. Skyline Dr","Peoria","IL","61614","3096918091","5104499","2018 May 25 12:00:00 AM","2019 Aug 16 12:00:00 AM",,"21","16","37","false","false","Peoria"
"Arbor Rose of Arcola","106 East 2nd South Street","Arcola",,"61910","2175181105","5201519","2018 Aug 07 12:00:00 AM","2020 Aug 07 12:00:00 AM","8",,,"8","true","true","Douglas"
"Arbor Rose of Charleston","1911 18th Street","Charleston","IL","61920","2175122814","5107013","2019 Apr 30 12:00:00 AM","2020 Nov 19 12:00:00 AM","12",,,"12","true","true","Coles"
"Arbor Rose of Monticello","1009 South Irving","Monticello","IL","61856","2176006101","5201626","2018 Nov 30 12:00:00 AM","2020 Nov 30 12:00:00 AM","8",,,"8","true","true","Piatt"
"Arbor Rose of Robinson","500 S. Reed Street","Robinson",,"62454","6184691244","5107039","2019 May 01 12:00:00 AM","2019 Nov 26 12:00:00 AM","13",,,"13","true","true","Crawford"
"Arbor Rose of Tolono","503 S. Bourne St","Tolono","IL","61880","2174853030","5107021","2019 May 01 12:00:00 AM","2020 Nov 18 12:00:00 AM","13",,,"13","true","true","Champaign"
"Arbor Terrace Naperville","2920 Levernez","Naperville","IL","60564","6308350030","5106395","2018 Jul 30 12:00:00 AM","2019 Jul 30 12:00:00 AM","47","37","11","95","true","false","Will"
"Arboria of Long Grove LLC","2300 IL Route 53","Long Grove","IL","60047","8473836737","5105835","2019 Jan 16 12:00:00 AM","2019 Aug 27 12:00:00 AM","44","60",,"104","true","false","Lake"
"Arbors at Adams Pointe, The","201 North 48th Street","Quincy",,"62305","2172286494","5104754","2018 Dec 20 12:00:00 AM","2019 Dec 20 12:00:00 AM","16",,,"16","true","true","Adams"
"Arbors at Centennial Pointe, The","3430 Hedley Road","Springfield",,"62712","2175469016","5105132","2018 Nov 14 12:00:00 AM","2019 Nov 14 12:00:00 AM","16",,,"16","true","true","Sangamon"
