est_name,address,city,state,zip,phone,license_number,issued,expires,az,reg,fl,total,alzheimer,adult_day,county,full_address
Adams Pointe Assisted Living,213 North 48th Street,Quincy,nan,62305,2172286484,5104747,2018 Dec 20 12:00:00 AM,2019 Dec 20 12:00:00 AM,,28.0,,28,False,True,Adams,"213 North 48th Street, Quincy, IL"
Addolorata Villa,553 McHenry Rd,Wheeling,IL,60090,8472155854,5100562,2019 Jan 29 12:00:00 AM,2020 Jan 29 12:00:00 AM,22.0,39.0,,61,True,False,Cook,"553 McHenry Rd, Wheeling, IL"
Admiral at the Lake,933 W. Foster Ave,Chicago,nan,60640,7734331800,5104192,2018 May 08 12:00:00 AM,2019 May 08 12:00:00 AM,17.0,39.0,,56,True,False,Cook,"933 W. Foster Ave, Chicago, IL"
Amber Glen Alzheimer's SCC,1704 East Amber Lane,Urbana,IL,61802,2173840100,5104101,2018 Aug 31 12:00:00 AM,2020 Aug 31 12:00:00 AM,38.0,,,38,True,False,Champaign,"1704 East Amber Lane, Urbana, IL"
Amber Ridge Assisted Living,900 43rd Avenue,Moline,nan,61265,3097978181,5105066,2019 May 01 12:00:00 AM,2020 May 01 12:00:00 AM,,46.0,,46,False,False,Rock Island,"900 43rd Avenue, Moline, IL"
Amber Ridge Memory Care,221 11th Avenue,Moline,IL,61265,3097577744,5105090,2019 May 01 12:00:00 AM,2020 May 01 12:00:00 AM,41.0,,,41,True,False,Rock Island,"221 11th Avenue, Moline, IL"
American House Cedarlake,14800 South Van Dyke Road,Plainfield,nan,60544,8152543564,5105041,2018 Dec 05 12:00:00 AM,2019 Dec 05 12:00:00 AM,,41.0,,41,False,False,Will,"14800 South Van Dyke Road, Plainfield, IL"
American House Orland Park,8021 151st Street,Orland Park,IL,60462,7084032400,5103293,2018 Oct 24 12:00:00 AM,2019 Oct 24 12:00:00 AM,36.0,,,36,True,False,Cook,"8021 151st Street, Orland Park, IL"
Anam Care Inc.,8104 Sayer Rd,Rockford,IL,61108,8153325566,5103590,2018 Oct 20 12:00:00 AM,2019 Oct 20 12:00:00 AM,20.0,,,20,True,True,Winnebago,"8104 Sayer Rd, Rockford, IL"
Anam Glen,7978 Newburg Road,Rockford,IL,61108,8153321919,5106965,2019 Mar 08 12:00:00 AM,2019 Aug 07 12:00:00 AM,13.0,,,13,True,True,Winnebago,"7978 Newburg Road, Rockford, IL"
